	800_P1	1100_P1	1700_P1	800_P2	1100_P2	1700_P2	p1_slope	p2_slope	p1_p2_diff	p1_dct_1.5	p2_dct_1.5	p1_p2_dct_1.5_diff	p1_dct_4.5	p2_dct_4.5	p1_p2_dct_4.5_diff	p1_dst	p2_dst	p1_p2_dst_diff	p1_dct_baseline	p2_dct_baseline	p1_dex_1.5	p2_dex_1.5	p1_dex_4.5	p2_dex_4.5	p1_dex_dst	p2_dex_dst
R34	15.1	9.58	4.42	14.7	9.09	4.07	-1.19	-1.18	-0.005555556	1.1	-1.61	-2.71	-3.74	-6.9	-3.16	-7.61	-8.05	0.44	6.97	15.89	50.85	43.95	23.1	27.75	4.67	0.48
R35	12.4	9.63	3.92	8.52	3.72	2.2	-0.94	-0.7	-0.24	0.25	-4.7	-4.95	-3.49	-10.62	-7.13	-5.55	17.98	-23.53	6.2	13.88	35.05	43.9	14.1	19.15	1.21	1
R36	11.4	9.66	5.32	27.7	21.85	14.05	-0.68	-1.52	0.841111111	-0.49	-6.11	-5.62	-1.68	-13.71	-12.03	-7.44	-20.2	12.76	4.17	20.57	40.15	59.5	21.45	31.2	4.18	3.29
R37	11.55	9.66	8.18	18.33	16.66	10.99	-0.37	-0.82	0.441111111	-0.69	-6.16	-5.47	-2.47	-15.91	-13.44	-5.9	-12.44	6.54	3.54	21.61	32.85	56.8	15.45	30.75	2.15	1.75
R38	17.6	10.8	7.09	12.88	16.23	8.06	-1.17	-0.54	-0.632222222	-0.96	0.6	1.56	-4.38	-7.56	-3.18	-5.86	-13.01	7.15	8.17	15.47	36.1	56.75	19.95	31.2	3.25	1.7
R39	16.4	13.9	14.05	5.35	24.6	20.4	-0.26	1.67	-1.933333333	1.06	-0.76	-1.82	-2.51	-11.38	-8.87	-9.36	-21.21	11.85	6.07	19.55	41	69.95	22.45	41.95	4.45	3.86
R40	14.45	12.35	10.9	14.3	15.75	6.7	-0.39	-0.84	0.45	-1.07	-1.96	-0.89	-4.05	-9.29	-5.24	-8.5	-6.94	-1.56	6.41	14.37	28.85	69.05	12.61	37.05	1.46	2.36
R41	15.5	12.1	15.1	17.13	14.32	12.85	-0.04	-0.48	0.431111111	0.5	-2.57	-3.07	-3.78	-12.41	-8.63	-3.69	-13.25	9.56	6.32	20.71	40.65	66.95	20.35	38.35	2.68	2.49
R42	16.1	16.75	14.25	2.37	29.05	21.85	-0.21	2.16	-2.37	-1.86	-4.6	-2.74	-5.87	-15.87	-10	-4.7	-18.81	14.11	8.49	22	33.5	43.65	12.7	21.45	1.43	1.49
R43	7.16	6.02	5.8	9.11	9.44	5.84	-0.15	-0.36	0.212222222	-1.3	-4.38	-3.08	-2.05	-9	-6.95	-2.31	-5.56	3.25	4.77	15.17	29.15	42.9	13.35	21.9	1.47	0.73
R44	15.6	17.55	16.1	3.15	19.1	15.55	0.06	1.38	-1.322222222	-1.32	NA	NA	-6.3	NA	NA	-11.71	-17.36	5.65	9.58	NA	43	NA	24.2	NA	3.38	4.37
R45	12.45	12.4	10.45	11.09	10.07	11.22	-0.22	0.01	-0.236666667	NA	NA	NA	NA	NA	NA	-6.15	0.49	-6.64	NA	NA	NA	NA	NA	NA	1.21	0.01
