ID	group	phase	no.obs	elo	min.total	min.given	min.received	agg.received.total	agg.received.contact	agg.received.nocontact	agg.given.total	agg.given.contact	agg.given.nocontact	raw.groom.rate	raw.aggRec.rate	raw.aggGiven.rate	raw.aggRec.contact.rate	raw.aggRec.nocontact.rate	raw.aggGiven.contact.rate	raw.aggGiven.nocontact.rate	raw.groomRec.rate	raw.groomGiven.rate
V2	Pp10_SGE2	2	46	1132	244.416	145.263	99.153	37	8	29	179	8	171	10.6267826086957	1.60869565217391	7.78260869565217	0.347826086956522	1.26086956521739	0.347826086956522	7.43478260869565	4.311	6.31578260869565
WU	Pp10_SGE2	2	46	575	118.032	40.568	77.464	234	13	221	12	0	12	5.13182608695652	10.1739130434783	0.521739130434783	0.565217391304348	9.60869565217391	0	0.521739130434783	3.368	1.76382608695652
AC	VBB_SGE2	2	29	295	49.286	17.262	32.024	161	22	139	38	3	35	3.39903448275862	11.1034482758621	2.62068965517241	1.51724137931034	9.58620689655172	0.206896551724138	2.41379310344828	2.20855172413793	1.19048275862069
FS	VBB_SGE2	2	29	240	65.298	38.407	26.891	123	9	114	9	0	9	4.50331034482759	8.48275862068965	0.620689655172414	0.620689655172414	7.86206896551724	0	0.620689655172414	1.85455172413793	2.64875862068965
JF	VBB_SGE2	2	29	1551	204.24	109.936	94.3040000000001	2	1	1	113	0	113	14.0855172413793	0.137931034482759	7.79310344827586	0.0689655172413793	0.0689655172413793	0	7.79310344827586	6.50372413793104	7.58179310344828
PJ	VBB_SGE2	2	29	976	112.807	43.932	68.875	164	1	163	147	27	120	7.77979310344828	11.3103448275862	10.1379310344828	0.0689655172413793	11.2413793103448	1.86206896551724	8.27586206896552	4.75	3.02979310344828
VB	VBB_SGE2	2	29	1838	130.553	71.555	58.998	0	0	0	143	3	140	9.00365517241379	0	9.86206896551724	0	0	0.206896551724138	9.6551724137931	4.0688275862069	4.9348275862069
48	WXC_SGE2	2	34	541	83.178	47.586	35.592	119	3	116	58	3	55	4.89282352941176	7	3.41176470588235	0.176470588235294	6.82352941176471	0.176470588235294	3.23529411764706	2.09364705882353	2.79917647058824
JJ	WXC_SGE2	2	34	1070	75.654	59.735	15.919	31	8	23	68	3	65	4.45023529411765	1.82352941176471	4	0.470588235294118	1.35294117647059	0.176470588235294	3.82352941176471	0.936411764705882	3.51382352941176
OV	WXC_SGE2	2	34	38	83.717	46.433	37.284	190	5	185	1	0	1	4.92452941176471	11.1764705882353	0.0588235294117647	0.294117647058824	10.8823529411765	0	0.0588235294117647	2.19317647058824	2.73135294117647
PM	WXC_SGE2	2	34	1824	154.65	35.796	118.854	0	0	0	70	2	68	9.09705882352941	0	4.11764705882353	0	0	0.117647058823529	4	6.99141176470588	2.10564705882353
WX	WXC_SGE2	2	34	1527	140.833	79.466	61.367	0	0	0	143	8	135	8.28429411764706	0	8.41176470588235	0	0	0.470588235294118	7.94117647058824	3.60982352941176	4.67447058823529
ON	Ze12_SGE2	2	38	1792	225.585	129.667	95.918	0	0	0	56	3	53	11.8728947368421	0	2.94736842105263	0	0	0.157894736842105	2.78947368421053	5.04831578947368	6.82457894736842
SI	Ze12_SGE2	2	38	1332	361.784	179.977	181.807	0	0	0	78	1	77	19.0412631578947	0	4.10526315789474	0	0	0.0526315789473684	4.05263157894737	9.56878947368421	9.47247368421053
UD	Ze12_SGE2	2	38	683	268.431	170.545	97.886	136	12	124	47	5	42	14.1279473684211	7.15789473684211	2.47368421052632	0.631578947368421	6.52631578947368	0.263157894736842	2.21052631578947	5.15189473684211	8.97605263157895
ZE	Ze12_SGE2	2	38	681	274.681	71.633	203.048	34	0	34	67	12	55	14.4568947368421	1.78947368421053	3.52631578947368	0	1.78947368421053	0.631578947368421	2.89473684210526	10.6867368421053	3.77015789473684
ZQ	Ze12_SGE2	2	38	512	171.743	99.29	72.453	111	9	102	33	0	33	9.03910526315789	5.84210526315789	1.73684210526316	0.473684210526316	5.36842105263158	0	1.73684210526316	3.81331578947368	5.22578947368421
